Id;Name;Email;Phone;Age;City;Street;Tag;Price;CustomerId;ProductId
1;Эдуард Устинов;StanislavTrofimov65@hotmail.com;(935)190-01-13;18;Астрахань;площадь Почтовая;Автомобиль;3200000;vbUHVjazD6;MC944605088137P5476B1ULO175
2;Лаврентий Евсеев;Dmitrii.Sorokina@ya.ru;(978)346-83-79;22;Киров;Подгорная проспект;Куртка;20000;MmSKTicFnu;GB03FUGN71200772200944
3;Лука Баранов;LyubovKudryashova@hotmail.com;(986)704-53-16;23;Киров;проспект Озерная;Ремень;2000;2KUTI;PK3745824776540409002498
4;Оксана Абрамова;ValentinaTeterin63@gmail.com;(931)406-55-16;52;Казань;ул. Московская;Ботинок;4500;e8aBaPZvyG;GB46SAPZ49624309004992
5;Владимир Кононов;Nikita33@mail.ru;(993)585-79-37;65;Курск;улица Комсомольская;Ножницы;55;5wWIeyeUD;BH50XJVBL650WETA15P042
6;Валерий Зайцев;Veronika34@ya.ru;(908)917-28-04;21;Магнитогорск;40 лет Победы пр.;Стул;1200;mTyJIaYFTk;BE69713205500155
7;Ольга Тарасова;GrigoriiDanilova32@gmail.com;(938)181-28-71;22;Брянск;Комарова улица;Кулон;30000;WaKUoI8chO;GT47964389H7TA8C90GR235A0073
8;Лариса Шарапова;Kseniya6@mail.ru;(980)012-62-66;23;Новокузнецк;площадь Кооперативная;Берет;500;EbUdr58oCv;CR4773190076725100991
9;Антон Цветков;Arina3@hotmail.com;(917)163-63-86;25;Барнаул;Шевченко площадь;Плащ;3000;vMVV;GR7417005362212418150E6C630
10;Никита Павлов;AlinaDorofeev70@hotmail.com;(974)670-44-48;68;Воронеж;Садовый пр.;Кошелек;1500;HQAjigXhoq;BR3010159120018291030901661G4
11;Кира Захарова;Andrei.Vorobev44@ya.ru;(972)264-19-27;12;Иваново;площадь Красная;Стол;2000;210FjKzS3;FR5133737100174C241620I3762
12;Даниил Матвеев;Georgii.Shestakov@gmail.com;(929)302-68-11;15;Липецк;Речная улица;Кулон;4000;tW9JcKoFZB;MU23ICRD500BG6000210592014CRW
13;Андрей Богданов;Eduard31@mail.ru;(939)427-46-54;23;Омск;площадь Березовая;Кулон;3000;r9s9Stwc1c;PK9210707898570009104748
14;Владислав Беляев;Margarita28@yandex.ru;(967)788-10-59;22;Курск;пл. Лесная;Компьютер;120000;7xqI8O7i0a;GT443Z2W16209M0D6QX65722SR04
15;Михаил Юдин;Viktor.Lobanov@yahoo.com;(993)792-22-76;56;Тула;улица Труда;Кулон;12000;J2OoCfJqXt;KZ038407911362398394
16;Георгий Кудрявцев;SvetlanaIvanov66@yahoo.com;(950)932-55-15;47;Брянск;Шевченко пр.;Клатч;2500;XfQyST2fgB;BG14LZRB32002001806PIS
17;Валерий Алексеев;AlinaShilova24@yandex.ru;(965)867-59-33;16;Нижний Новгород;площадь Кооперативная;Кошелек;2000;O1SFHhkGNN;ME36598332620051074583
18;Эдуард Дементьев;Antonina.Gushin3@gmail.com;(905)071-16-53;18;Владимир;ул. Ленина;Плащ;3000;KUClJvp3vz;AT4724CR249130626059
19;Роман Борисов;Valentina.Pavlov67@yandex.ru;(915)429-94-40;23;Сочи;пр. Труда;Шарф;4000;cd6ZjjJHs;AZ32369200397801303910611098
20;Степан Пестов;Elena17@ya.ru;(988)756-34-68;26;Астрахань;Строительная пр.;Ножницы;65;wuVUlQicr;FI7970037290348101
21;Валентина Уварова;Svetlana.Gusev41@yahoo.com;(935)385-42-91;30;Воронеж;Трактовая улица;Кошелек;750;vbUHVjazD7;MC9446050476B1ULO175
22;Регина Родионова;Svetlana82@ya.ru;(978)231-07-99;25;Киров;улица Суворова;Клатч;10020;MmSKT5cFnu;GB03FUGN772200944
23;Виталий Колобов;Yurii70@yahoo.com;(987)551-51-08;26;Иваново;проспект Энергетиков;Стол;50000;2K56UTI;PK37458247765404090024
